text,clean_text
Кто по жизни я расскажет мой значок на рюкзаке (е),кто по жизнь я рассказать мой значок на рюкзак быть
"Мы за культуру эмо, за культуру чёлок",мы за культура эмо за культура чёлка
"За дрыщавых пацанов, похожих на девчонок",за дрыщавый пацан похожий на девчонка
"За культуру эмо, за культуру чёлок",за культура эмо за культура чёлка
"За дрыщавых пацанов, похожих на девчонок, а",за дрыщавый пацан похожий на девчонка а
"Слышь, не суйся в мой двор",слышь не соваться в мой двор
Тут серьёзные мужчины дэнсят эмо-хардкор!,тут серьёзный мужчина дэнсить
"Это техно-хардкор, отсосите мой ствол",это отсосать мой ствол
Я хайпую только потому что нету мозгов,я хайпый только потому что нету мозг
"Это эмо-fastflow, клади бабки на стол",это класть бабка на стол
"Ограбление души — прочитай между строк, эй",ограбление душа прочитать между строка эй
"Рэп игра трясётся, словно дом в Магнитогорске, эй",рэп игра трястись словно дом в магнитогорск эй
"Я такой большой, что подо мной сломались доски",я такой большой что под я сломаться доска
"Я, конечно же, про девок сейчас пел, а не про пол",я конечно же про девка сейчас петь а не про пол
"Деревянный, как поэт, что не дружит с головой!",деревянный как поэт что не дружить с голова
"Мы за культуру эмо, за культуру чёлок",мы за культура эмо за культура чёлка
"За дрыщавых пацанов, похожих на девчонок",за дрыщавый пацан похожий на девчонка
"За культуру эмо, за культуру чёлок",за культура эмо за культура чёлка
"За дрыщавых пацанов, похожих на девчонок, а",за дрыщавый пацан похожий на девчонка а
"Слышь, не суйся в мой двор",слышь не соваться в мой двор
Тут серьёзные мужчины дэнсят эмо-хардкор!,тут серьёзный мужчина дэнсить
"Ты мой зайчик в этом мире, любим только мы с тобой",ты мой зайчик в это мир любим только мы с ты
"И я шла к тебе на свиданье, показать свою любовь",и я идти к ты на свидание показать свой любовь
"I love you, показать свою любовь",i love you показать свой любовь
"I love you, и почти дошла, но",i love you и почти дойти но
Но кирпич упал тебе прямо на ебло,но кирпич упасть ты прямо на ести
"Это просто epic fail, как же так? Oh, no!",это просто epic fail как же так oh no
Моё сердце разрывается на тысячи частиц,мой сердце разрываться на тысяча частица
"Ведь мы были неразлучны, будто gangster банды Crips, а",ведь мы быть неразлучный будто gangster банда crips а
Что же делать мне теперь?,что же делать я теперь
"Не могу это стерпеть, как могла ты умереть, а?",не мочь это стерпеть как мочь ты умереть а
Мне так плохо без тебя,я так плохо без ты
"Я любил тебя, родная моя тёлка (ra-ar!)",я любить ты родный мой тёлка
Тёлка,тёлка
"Никто не знает, что сейчас у меня на душе, никто",никто не знать что сейчас у я на душа никто
Покурить бы сигаретку,покурить бы сигаретка
"Мне так, так, так, так плохо",я так так так так плохо
"Потому что ты, ты, ты, ты сдохла (ла-ла-ла)",потому что ты ты ты ты сдохнуть
"Не знаю, что мне делать и",не знать что я делать и
Снова вою от тоски,снова вой от тоска
Зачем?,зачем
Я не знаю,я не знать
Почему?,почему
И не специально,и не специально
"Ты была тычинкой, я был пестиком",ты быть тычинка я быть пестик
"Я был твоим Сидом, ты была моей Нэнси",я быть твой сид ты быть мой нэнси
"Ты была муравейником, я был муравейчиком",ты быть муравейник я быть муравейчик
"Я был троном Дайр, ты была крипом-мечником",я быть трон дайра ты быть
И твоё депо закрыто навсегда,и твой депо закрытый навсегда
Я свой поезд не смогу больше туда парковать,я свой поезд не смочь большой туда парковать
И в печали с утра до ночи и с ночи до утра,и в печаль с утро до ночь и с ночь до утро
"Но увидел я тебя и сразу закричал: ""Ra-ar!""",но увидеть я ты и сразу закричать
"Милый, как ты?",милый как ты
"Но, как это возможно? Ты что, смогла выжить?",но как это возможно ты что смочь выжить
Нет,нет
Блять,блядь
"Мне так, так, так, так плохо",я так так так так плохо
"Потому что ты, ты, ты, ты сдохла (ла-ла-ла)",потому что ты ты ты ты сдохнуть
"Не знаю, что мне делать и",не знать что я делать и
Снова вою от тоски,снова вой от тоска
Зачем?,зачем
Я не знаю,я не знать
Почему?,почему
И не специально,и не специально
Зажигай!,зажигать
"Ты мой зайчик в этом мире, любим только мы с тобой",ты мой зайчик в это мир любим только мы с ты
"И я шла к тебе на свиданье, показать свою любовь",и я идти к ты на свидание показать свой любовь
"I love you, показать свою любовь",i love you показать свой любовь
"I love you, и почти дошла, но",i love you и почти дойти но
Трек!,трек
"Ну, есть понятие ""метамодернизм""",ну есть понятие метамодернизм
(Есть пробитие),есть пробитие
Окей,окей
"Пьём и курим на рейвах, прячем руки в темноту",пить и курить на рейв прятать рука в темнота
"В ней не видно нашей грусти, ходим с лезвием во рту",в она не видно наш грусть ходить с лезвие в рот
На последнем перерыве забиваем все на движ,на последний перерыв забивать всё на движ
"Наша искренняя грусть романтичней, чем Париж, а",наш искренний грусть романтичный чем париж а
10 лишних таблов за любовь,лишний таблов за любовь
"Пенка с губ, а слёзки на мраморный пол",пенка с губа а слёзка на мраморный пол
За кого-то на телах блестят порезы от ножей,за на тело блестеть порез от нож
Я смотрю на это и не могу понять,я смотреть на это и не мочь понять
Зачем тогда вообще нужна любовь?,зачем тогда вообще нужный любовь
Если у меня есть джанк,если у я есть джанк
"Если у меня есть hoe, что готовы на всё",если у я есть hoe что готовый на всё
Я устрою гэнг бэнг! Нарко-пати оргию,я устроить гэнг бэнг оргия
Позову туда весь свой класс,позвать туда весь свой класс
Я устрою гэнг бэнг,я устроить гэнг бэнг
"В самом центре школы, эй, все приходите сюда",в сам центр школа эй всё приходить сюда
"Я устрою гэнг бэнг, бэнг, бэнг, бэнг",я устроить гэнг бэнг бэнг бэнг бэнг
"Я устрою гэнг бэнг, бэнг, бэнг, бэнг, бэнг",я устроить гэнг бэнг бэнг бэнг бэнг бэнг
"Я устрою гэнг бэнг, бэнг, бэнг, бэнг",я устроить гэнг бэнг бэнг бэнг бэнг
"Я устрою гэнг бэнг, бэнг, бэнг, бэнг, бэнг",я устроить гэнг бэнг бэнг бэнг бэнг бэнг
(Опять работа),опять работа
Не знаю куда меня несёт,не знать куда я нести
"Со мной Кристи с параллельного класса, готовая на всё",с я кристи с параллельный класс готовый на всё
"Её подружки такие же, как она",её подружка такой же как она
"И мы допиваем что-то фиолетовое до дна, а",и мы допивать фиолетовый до дно а
Говоришь о чувствах? Мне смешно,говорить о чувство я смешно
В этой куче страсти поняли мы всё,в этот куча страсть понять мы всё
Если это приносит только боль,если это приносить только боль
"То скажи мне, дружок",то сказать я дружок
Зачем тогда вообще нужна любовь?,зачем тогда вообще нужный любовь
Если у меня есть джанк,если у я есть джанк
"Если у меня есть hoe, что готовы на всё",если у я есть hoe что готовый на всё
Я устрою гэнг бэнг! Нарко-пати оргию,я устроить гэнг бэнг оргия
Позову туда весь свой класс,позвать туда весь свой класс
Я устрою гэнг бэнг,я устроить гэнг бэнг
"В самом центре школы, эй, все приходите сюда",в сам центр школа эй всё приходить сюда
"Я устрою гэнг бэнг, бэнг, бэнг, бэнг",я устроить гэнг бэнг бэнг бэнг бэнг
"Я устрою гэнг бэнг, бэнг, бэнг, бэнг, бэнг",я устроить гэнг бэнг бэнг бэнг бэнг бэнг
"Я устрою гэнг бэнг бэнг, бэнг, бэнг",я устроить гэнг бэнг бэнг бэнг бэнг
"Я устрою гэнг бэнг, бэнг, бэнг, бэнг, бэнг",я устроить гэнг бэнг бэнг бэнг бэнг бэнг
Но иногда я вспоминаю твои зелёные глаза,но иногда я вспоминать твой зелёный глаз
Поджигаю dope и плачу,поджигать dope и плач
"И ты знаешь, что любви нет и не было никогда",и ты знать что любовь нет и не быть никогда
А это значит,а это значит
"Я устрою гэнг бэнг (Trillium, а-а-а-а)",я устроить гэнг бэнг trillium
Я устрою гэнг бэнг (Trillium),я устроить гэнг бэнг trillium
(Я устрою гэнг бэнг) ты дрочишь?,я устроить гэнг бэнг ты дрочить
(Я устрою гэнг бэнг),я устроить гэнг бэнг
"(Я устрою гэнг бэнг, я устрою гэнг бэнг)",я устроить гэнг бэнг я устроить гэнг бэнг
(Я устрою гэнг бэнг),я устроить гэнг бэнг
Аспирин на столе намекает: жизнь не напрасна (не напрасна),аспирин на стол намекать жизнь не напрасный не напрасный
И мой друг Нурофен добавляет каплю контраста (ага),и мой друг нурофен добавлять капля контраст ага
"Закрываю ноутбук, её Linux так набух",закрывать ноутбук её linux так набухнуть
И мой Гексорал готов и черезмерно крут на двух (секс),и мой гексорало готовый и черезмерно крутой на два секс
"Вокруг дождь, потоп, эй",вокруг дождь потоп эй
"Когда она слышит фразу: ""Ношпа — топ""",когда она слышать фраза ношп топ
"Я не верю в это всё, эта жизнь — будто сон",я не верить в это всё этот жизнь будто сон
Она мне передает Анальгин языком,она я передавать анальгин язык
Эта сучка сегодня не сможет уснуть (нет),этот сучка сегодня не смочь уснуть нет
Ведь я лью ей Календулу на грудь (секс),ведь я лить она календула на грудь секс
После Димедрола — я король танцпола,после димедрол я король танцполый
После Кетамина — королева мира,после кетамин королева мир
Засыпаю Терафлю в водник,засыпать терафить в водник
"И танцую тектоник, танцую тектоник (dance, dance, dance)",и танцевать тектоника танцевать тектоника dance dance dance
После Димедрола — я король танцпола,после димедрол я король танцполый
После Кетамина — королева мира,после кетамин королева мир
Засыпаю Терафлю в водник,засыпать терафить в водник
"И танцую тектоник, танцую тектоник",и танцевать тектоника танцевать тектоника
"(Ну, ну, ну, ну) зажигаются огни",ну ну ну ну зажигаться огонь
"(О, да, секс) Бромгексин Берлин-Хеми",о да секс бромгексин
(Да! Да! Да!),да да да
Зажигаются огни,зажигаться огонь
"Навали, Коля! Навали! Навали!",навалить коля навалить навалить
Навали блять (щас бы на рыбалку),навалить блядь сейчас бы на рыбалка
"Они говорят, чтоб я финишировал",они говорить чтоб я финишировать
"Но мне всё равно, сучка, я под рыбьим жиром chill'ю",но я всё равно сучка я под рыбий жир chill ю
И мне даже так паршивенько,и я даже так паршивенький
Ведь моя любовь где-то за аптечной ширмой (что?),ведь мой любовь за аптечный ширма что
"Фараон кичится тем, что он под бошками и лином",фараон кичиться тем что он под бошками и лином
Но спросите: он хоть раз лизал Гематоген с малиной? (А?),но спросить он хоть раз лизать гематоген с малина а
"Я уверен в том, что нет",я уверенный в тот что нет
Так скажи мне: кто из нас реальный хасл-ганста рэп?,так сказать я кто из мы реальный рэп
"Эта сучка хороша, так красива и умна",этот сучка хороший так красивый и умный
"Есть и ноги, грудь, и жопа — всё на соточку сполна",есть и нога грудь и жопа всё на соточка сполна
Только вот ведь незадача — есть один простой изъян,только вот ведь незадача есть один простой изъян
"(Да какой же, Коля?) Она не Лазолван!",да какой же коля она не лазолван
После Димедрола — я король танцпола,после димедрол я король танцполый
После Кетамина — королева мира,после кетамин королева мир
Засыпаю Терафлю в водник,засыпать терафить в водник
"И танцую тектоник, танцую тектоник",и танцевать тектоника танцевать тектоника
После Димедрола — я король танцпола,после димедрол я король танцполый
После Кетамина — королева мира,после кетамин королева мир
Засыпаю Терафлю в водник,засыпать терафить в водник
"И танцую тектоник, танцую тектоник",и танцевать тектоника танцевать тектоника
"Давай, давай, давай, давай! Разгоняй, разгоняй этот танцпол",давать давать давать давать разгонять разгонять этот танцполый
Зажигаются огни!,зажигаться огонь
"Аве, с вами Юлий!",ава с вы юлий
Сларк положил на тебя глаз,сларк положить на ты глаз
Бромгексин Берлин-Хеми!,бромгексин
Маленькие девочки слэмятся,маленький девочка слэмиться
Зажигаются огни!,зажигаться огонь
"Разгоняй, разгоняй, разгоняй",разгонять разгонять разгонять
"Разгоняй меня, разгоняй меня",разгонять я разгонять я
Разгоняй ебало!,разгонять ебало
"Мяу, Локи (йоу, киски, c'mon, эй, эй, c'mon, эй, c'mon)",мяу лока йоу киска эй эй эй
К твоим ногам я сыпал роз лепестки (киски),к твой нога я сыпать роза лепесток киска
"Повар Николай (скр, а)",повар николай скр а
"Приготовит все, что хочешь – выбирай! (Выбирай)",приготовить всё что хотеть выбирать выбирать
"Хоть рататуй, хоть Кордон блю, хоть apple pie",хоть рататуй хоть кордон блю хоть apple pie
(хоть apple pie!),хоть apple pie
"Ну, что ты хочешь? Давай думай, лох, рожа-а-й!",ну что ты хотеть давать думать лох
"Повар Николай (эй, эй)",повар николай эй эй
"Приготовит все, что хочешь – выбирай! (-рай)",приготовить всё что хотеть выбирать
"Хоть рататуй, хоть Кордон-Блю, хоть apple pie",хоть рататуй хоть хоть apple pie
(хоть apple pie!),хоть apple pie
"Ну, что ты хочешь? Давай думай, лох, рожа-а-й!",ну что ты хотеть давать думать лох
Я хочу яичницу!,я хотеть яичница
Ладно,ладный
Я беру вот эту ягоду и разрезаю нахуй,я брать вот этот ягода и разрезать нахуй
"Это только начало, если че – я Баха (Баха!)",это только начало если че я бах бах
"Вырезаю мякоть, добавляю сахар",вырезать мякоть добавлять сахар
Это не блюдо – это симфония Баха (Ба-ха!),это не блюдо это симфония бах
"Майонез, два банана, и, конечно же, лама",майонез два банан и конечно же лама
"Боже, как же хочется кончить от аромата (кончить)",бог как же хотеться кончить от аромат кончить
"Ммм, как же вкусно, ну это моя работа",ммм как же вкусно ну это мой работа
"Ой, совсем забыл добавить Охоту",ой совсем забыть добавить охота
Коля повар-ниндзя-man (ху-ху),коля
"Кстати, есть еще недостающий ингредиент (ха, тьфу)",кстати есть ещё недоставать ингредиент ха тьфу
"Сверху немножечко мыла, и, конечно же, тапок",сверху немножечко мыло и конечно же тапка
Заносим в духовочку и ждем,заносить в духовочко и ждать
"Что, чувствуешь запах?",что чувствовать запах
Нет,нет
"Ну тогда подойди поближе, подойди",ну тогда подойти близкий подойти
Понюхай,понюхать
Повар Николай,повар николай
"Приготовил тебе то, что ты сказал (что ты сказал)",приготовить ты то что ты сказать что ты сказать
"Вкуснотища, лучшая яичница (яичница)",вкуснотища хороший яичница яичница
"Ну что, посмотрим может быть уже давай? (Давай-давай)",ну что посмотреть мочь быть уже давать
Доставай! (Доставай),доставать доставать
"Ko谢褟, Ko谢褟, 褌pax薪懈 屑e薪褟",ko谢褟 ko谢褟 褌pax薪懈 屑e薪褟
"Ko谢褟, Ko谢褟, 褌pax薪懈 屑e薪褟",ko谢褟 ko谢褟 褌pax薪懈 屑e薪褟
Ko谢褟 褌褘 屑o褟 Bce谢e薪薪a褟,ko谢褟 褌褘 屑o褟 bce谢e薪薪a褟
携 薪e 屑o谐褍 斜e蟹 褌e斜褟,携 薪e 屑o谐褍 斜e蟹 褌e斜褟
"携 xo褔褍, xo褔褍 褌e斜褟 Ko谢褟!",携 xo褔褍 xo褔褍 褌e斜褟 ko谢褟
"Ko谢褟, Ko谢褟, 褌pax薪懈 屑e薪褟",ko谢褟 ko谢褟 褌pax薪懈 屑e薪褟
"Ko谢褟, Ko谢褟, 褌pax薪懈 屑e薪褟",ko谢褟 ko谢褟 褌pax薪懈 屑e薪褟
Ko谢褟 褌褘 屑o褟 Bce谢e薪薪a褟,ko谢褟 褌褘 屑o褟 bce谢e薪薪a褟
携 薪e 屑o谐褍 斜e蟹 褌e斜褟,携 薪e 屑o谐褍 斜e蟹 褌e斜褟
"携 xo褔褍, xo褔褍 褌e斜褟 Ko谢褟!",携 xo褔褍 xo褔褍 褌e斜褟 ko谢褟
Co斜o谢e胁 褌a泻o泄 锌p懈泻o谢褜薪褘泄,co斜o谢e胁 褌a泻o泄 锌p懈泻o谢褜薪褘泄
Ca屑褘泄 谢褍褔褕懈泄 胁 屑懈pe 斜谢o谐ep,ca屑褘泄 谢褍褔褕懈泄 胁 屑懈pe 斜谢o谐ep
H懈泻o谐写a 薪e 胁p褢褌 邪褍写懈褌op懈懈,h懈泻o谐写a 薪e 胁p褢褌 邪褍写懈褌op懈懈
Mo泄 谢褞斜懈屑褘泄 Ko谢褟,mo泄 谢褞斜懈屑褘泄 ko谢褟
"携 xo褔褍, 褔褌o斜褘 褌褘 斜褘谢 胁ce谐写a co 屑薪o褞",携 xo褔褍 褔褌o斜褘 褌褘 斜褘谢 胁ce谐写a co 屑薪o褞
袩o写 谢褍薪o泄 谐褍谢褟褌褜 c 褌o斜o泄 蟹a p褍泻褍,袩o写 谢褍薪o泄 谐褍谢褟褌褜 c 褌o斜o泄 蟹a p褍泻褍
协褌o 屑o褟 屑e褔褌a!,协褌o 屑o褟 屑e褔褌a
"Ko谢褟, Ko谢褟, 褌pax薪懈 屑e薪褟",ko谢褟 ko谢褟 褌pax薪懈 屑e薪褟
"Ko谢褟, Ko谢褟, 褌pax薪懈 屑e薪褟",ko谢褟 ko谢褟 褌pax薪懈 屑e薪褟
Ko谢褟 褌褘 屑o褟 Bce谢e薪薪a褟,ko谢褟 褌褘 屑o褟 bce谢e薪薪a褟
携 薪e 屑o谐褍 斜e蟹 褌e斜褟,携 薪e 屑o谐褍 斜e蟹 褌e斜褟
"携 xo褔褍, xo褔褍 褌e斜褟 Ko谢褟!",携 xo褔褍 xo褔褍 褌e斜褟 ko谢褟
"Ko谢褟, Ko谢褟, 褌pax薪懈 屑e薪褟",ko谢褟 ko谢褟 褌pax薪懈 屑e薪褟
"Ko谢褟, Ko谢褟, 褌pax薪懈 屑e薪褟",ko谢褟 ko谢褟 褌pax薪懈 屑e薪褟
Ko谢褟 褌褘 屑o褟 Bce谢e薪薪a褟,ko谢褟 褌褘 屑o褟 bce谢e薪薪a褟
携 薪e 屑o谐褍 斜e蟹 褌e斜褟,携 薪e 屑o谐褍 斜e蟹 褌e斜褟
"携 xo褔褍, xo褔褍 褌e斜褟 Ko谢褟!",携 xo褔褍 xo褔褍 褌e斜褟 ko谢褟
Я красивая?,я красивый
Я красивая?,я красивый
Зажигает Россия,зажигать россия
Я красивая?,я красивый
"Ну что, вы готовы танцевать?",ну что вы готовый танцевать
Я красивая?,я красивый
Обзоры аниме (аниме) за десять секунд (секунд-секунд),обзор аниме аниме за десять секунда
Вместе с Диком (Дик!),вместе с дик дик
"Тут лучший контент (е), Лёша аниме-кун (кун!)",тут хороший контент быть лёша кун
Лёша дикий...,лёша дикий
Лёша дикий content-make,лёша дикий
"Стримы, ролики, контент",стрим ролик контент
Плюс обзоры аниме за десять секунд (у),плюс обзор аниме за десять секунда у
"Клипы, тёлки, чат рулет (е)",клип тёлка чат рулет быть
"Игры, конфликты и рэп (е)",игра конфликт и рэп быть
"Кто не сделает подписку, того отъебут (вот так – а!)",кто не сделать подписка тот отъебут вот так а
Подпишись на НеШОУ Лекса!,подписаться на нешоу лекса
"Он крутой, и он рулит, честно!",он крутой и он рулить честно
НеШОУ Лекса!,нешоу лекса
НеШОУ Лекса!,нешоу лекса
Подпишись!,подписаться
НеШОУ Лекса!,нешоу лекса
НеШОУ Лекса!,нешоу лекса
"Подпишись, блять!",подписаться блядь
"НеШОУ Лекса, НеШОУ",нешоу лекса нешоу
"НеШОУ Лекса, НеШОУ",нешоу лекса нешоу
"А, йоу, НеШОУ Лекса, НеШОУ Лекса",а йоу нешоу лекса нешоу лекса
"Подпишись, пожалуйста",подписаться пожалуйста
На канал НеШОУ Лекса,на канал нешоу лекса
"НеШОУ Лекса, блять!",нешоу лекса блядь
"Давай, давай качай-качай",давать давать
"Качай ещё головой, вперёд",качать ещё голова вперёд
"НеШОУ Лекса, НеШОУ Лекса, НеШОУ Лекса",нешоу лекса нешоу лекса нешоу лекса
Повторяй за мной:,повторять за я
НеШОУ кого? НеШОУ Лекса!,нешоу кто нешоу лекса
НеШОУ кого?,нешоу кто
НеШОУ Лекса!,нешоу лекса
Но выхода нет,но выход нет
Растает весна,растаять весна
Среди тысяч комет,среди тысяча комета
Смертельна одна,смертельный один
"А-а-а, а",а
"А-а, а",а
Послевкусие виски,послевкусие виски
Эти грязные мысли,этот грязный мысль
"И мы зависимы, мы... Мы зависли!",и мы зависимый мы мы зависнуть
"И всё, что кроме нас, пролетает так быстро!",и всё что кроме мы пролетать так быстро
"Холодные сны, где голодные звери вокруг",холодное сон где голодный зверь вокруг
До крови в глазах всё хотят укусить мою темноту,до кровь в глаз всё хотеть укусить мой темнота
"Ведь, я так люблю мою ночь",ведь я так любить мой ночь
Я скоро в ней утону,я скоро в она утонуть
"(Smile) на твоём лице, порождает свет",smile на твой лицо порождать свет
"Убивая меня, улыбая всех (м)",убивать я улыбай весь м
"Так, что кругом голова!",так что кругом голова
За волной ещё волна!,за волна ещё волна
Послевкусие виски (послевкусие виски),послевкусие виски послевкусие виски
Эти грязные мысли (эти грязные),этот грязный мысль этот грязный
"И мы зависимы, мы... Мы зависли! (Whoa-oh-whoa)",и мы зависимый мы мы зависнуть
"И всё, что кроме нас, пролетает так быстро!",и всё что кроме мы пролетать так быстро
"Холодные сны, где голодные звери вокруг",холодное сон где голодный зверь вокруг
"За укусом укус, но я сразу проснулся в холодном поту",за укус укус но я сразу проснуться в холодный пот
Ты полюби мою ночь,ты полюбить мой ночь
И утони в ней со мной,и утонуть в она с я
"(Smile) на твоем лице, его больше нет",smile на твой лицо он большой нет
"Это давит меня, расслабляя всех (м)",это давить я расслаблять весь м
"Так, что кругом голова!",так что кругом голова
За волной ещё волна!,за волна ещё волна
Послевкусие виски (послевкусие виски),послевкусие виски послевкусие виски
Эти грязные мысли (эти грязные),этот грязный мысль этот грязный
"И мы зависимы, мы... Мы зависли! (Whoa-oh-whoa)",и мы зависимый мы мы зависнуть
"И всё, что кроме нас, пролетает так быстро!",и всё что кроме мы пролетать так быстро
Послевкусие виски (послевкусие виски),послевкусие виски послевкусие виски
Эти грязные мысли (эти грязные),этот грязный мысль этот грязный
"Мы зависимы, мы зависли! (Wo, yeah)",мы зависимый мы зависнуть wo yeah
"И всё, что кроме нас, пролетает так быстро!",и всё что кроме мы пролетать так быстро
"Скажи мне, что за твоим платьем Ralph Louren под духами Prada",сказать я что за твой платье ralph louren под дух prada
"Я вижу правду, я вижу правду",я видеть правда я видеть правда
"Покажи мне всё, и ничего скрывать не надо",показать я всё и ничего скрывать не надо
"Сотри помаду, одежда на пол",стереть помада одежда на пол
"Так доступна, но ведь мне только это надо",так доступный но ведь я только это надо
"Под звездопадом, нам здесь прохладно",под звездопад мы здесь прохладно
"Слишком гладкая натура — ты, наверное, ангел",слишком гладкий натура ты наверное ангел
"Станцуем танго, под дымом skunk'а!",станцевать танго под дым skunk а
Ты самая рок-н-рольная девка,ты самый девка
Мы снова зависнем у меня под таблеткой (yeah),мы снова зависнуть у я под таблетка yeah
"Ты так одинока, но всем похуй на это (на это)",ты так одинокий но весь похуй на это на это
И твоя тьма — это всего лишь отсутствие света (yeah),и твой тьма это весь лишь отсутствие свет yeah
С ожидания меня знобит изрядно,с ожидание я знобить изрядно
"Здесь так прохладно, лишь светит лампа",здесь так прохладно лишь светить лампа
"Но ты разжигаешь, появляясь так галантно",но ты разжигать появляться так галантно
"Пьяна и ладно, ведь всё приватно",пьяный и ладный ведь всё приватно
"Больше невозможно ждать, хочу тебя так жадно",большой невозможно ждать хотеть ты так жадно
"Одежда на пол, твой страх оправдан",одежда на пол твой страх оправдать
"Вижу, что под твоим платьем, под духами Prada",видеть что под твой платье под дух prada
"Всё вижу, правда... Всё вижу, правда",всё видеть правда всё видеть правда
Ты самая рок-н-рольная девка,ты самый девка
Мы снова зависнем у меня под таблеткой (yeah),мы снова зависнуть у я под таблетка yeah
"Ты так одинока, но всем похуй на это (на это)",ты так одинокий но весь похуй на это на это
И твоя тьма — это всего лишь отсутствие света (yeah),и твой тьма это весь лишь отсутствие свет yeah
"Я был прав, никто не сильный против твоих глаз",я быть право никто не сильный против твой глаз
"Заливай меня бензином, чтоб наверняка",заливать я бензин чтоб наверняка
Возможно так быть и должно,возможно так быть и должный
"Только прошу, не покидай меня",только просить не покидать я
"Вот, возьми этот фитиль и просто поджигай, поджигай",вот взять этот фитиль и просто поджигать поджигать
"Сто проблем на этот счёт, вдохнови меня ещё",сто проблема на этот счёт вдохновить я ещё
"Ты лишь возьми фитиль и просто поджигай, поджигай",ты лишь взять фитиль и просто поджигать поджигать
"Поджигай, поджигай, поджигай, поджигай, поджигай",поджигать поджигать поджигать поджигать поджигать
"Мою душу, словно блант",мой душа словно блант
"Поджигай, поджигай, поджигай, поджигай",поджигать поджигать поджигать поджигать
И сожги меня дотла,и сжечь я дотла
"Поджигай, поджигай, поджигай, поджигай",поджигать поджигать поджигать поджигать
"Мою душу, словно блант",мой душа словно блант
"Поджигай, поджигай, поджигай, поджигай",поджигать поджигать поджигать поджигать
И сожги меня (Сожги меня),и сжечь я сжечь я
Сожги меня дотла!,сжечь я дотла
"Я написал о тебе сто стихов, но",я написать о ты сто стих но
"Им не услышать и одного, воу",они не услышать и один воу
"Мы падаем, но мы не долетим",мы падать но мы не долететь
"Путь — сейчас ты где-то далеко, стоп",путь сейчас ты далеко стоп
"Мы оба знаем — это не любовь, но",мы оба знать это не любовь но
Что-то есть и это посильнее любви,есть и это посильный любовь
Возможно так быть и должно,возможно так быть и должный
"Только прошу, не покидай меня",только просить не покидать я
"Вот, возьми этот фитиль и просто поджигай, поджигай",вот взять этот фитиль и просто поджигать поджигать
"Сто проблем на этот счёт, вдохнови меня ещё",сто проблема на этот счёт вдохновить я ещё
"Ты лишь возьми фитиль и просто поджигай, поджигай",ты лишь взять фитиль и просто поджигать поджигать
"Поджигай, поджигай, поджигай, поджигай, поджигай",поджигать поджигать поджигать поджигать поджигать
"Мою душу, словно блант",мой душа словно блант
"Поджигай, поджигай, поджигай, поджигай",поджигать поджигать поджигать поджигать
И сожги меня дотла,и сжечь я дотла
"Поджигай, поджигай, поджигай, поджигай",поджигать поджигать поджигать поджигать
"Мою душу, словно блант",мой душа словно блант
"Поджигай, поджигай, поджигай, поджигай",поджигать поджигать поджигать поджигать
И сожги меня (Сожги меня),и сжечь я сжечь я
Сожги меня дотла!,сжечь я дотла
За губами со вкусом мастики,за губа с вкус мастика
Ты наконец-то скроешь свой комплекс,ты скрыть свой комплекс
Будет он целовать без резинки,быть он целовать без резинка
Без Dirol'а и даже без Contex,без dirol а и даже без contex
И всё казалось таким необычным,и всё казаться такой необычный
"Босиком по лужам, выкинув кеды",босиком по лужа выкинуть кед
Сделав каждый момент неприличным,сделать каждый момент неприличный
Закурив ментолом эти сюжеты,закурить ментол этот сюжет
И скрываясь в бегах по подъездам,и скрываться в бега по подъезд
От расстрела с неба каплями насмерть,от расстрел с небо капля насмерть
Ты с улыбкой отдашь ему детство,ты с улыбка отдать он детство
"Веря в то, что только так и бывает",верить в то что только так и бывать
И внутри вашей тесной каморки,и внутри ваш тесный каморка
Цифры возраста не под запретом,цифра возраст не под запрет
Что случится за стенами после,что случиться за стена после
"Так не важно, не думай об этом",так не важно не думать о это
"Ну, а ты это не забудешь ещё долго (м, долго)",ну а ты это не забыть ещё долго м долго
"Может быть, ещё встретимся, девчонка-иголка",мочь быть ещё встретиться
"Но только ты это не забудешь ещё долго (м, долго)",но только ты это не забыть ещё долго м долго
"Может быть, ещё встретимся, девчонка-иголка, но только!",мочь быть ещё встретиться но только
"Иголка, иголка",иголка иголка
"Иголка, иголка",иголка иголка
"Иголка, иголка",иголка иголка
"Иголка, иголка",иголка иголка
"И звонок, что приходит внезапно",и звонок что приходить внезапно
"Две иголки, как уколами в сердце",два иголка как укол в сердце
Разгоняют твой пульс непонятно,разгонять твой пульс непонятно
Увеличивая страх в килогерцах,увеличивать страх в килогерц
"Шардоне, свечи, бантик и скатерть",шардон свеча бантик и скатерть
Но дождаться его — слишком слепо,но дождаться он слишком слепо
"Ты пойдёшь под расстрелы, что насмерть",ты пойти под расстрел что насмерть
"Закурив, вспоминая сюжеты",закурить вспоминать сюжет
